topic;post
Kariera; ktos tutaj pracuje w Google w Warszawie jako programista? daje się, że oddział istnieje ale nie widać nigdzie ogłoszeń zatrundiają tam na jakieś stanowiska developerskie aktualnie? 
Kariera; Czołem! Na wstępie, wiem jak było w ItMagination, naczytałem się sporo różnych opinii na temat tej firmy i są kiepskie zdania o niej, ale są to opinie zazwyczaj mające około roku. Pytanie, czy wie ktoś może, jak tam wygląda sytuacja w tej chwili? Czy znajduje się tutaj na forum jakaś osoba która tam pracuje? Może jest ktoś kto w ciągu ostatniego roku się tam zatrudnił? Podobno umowy też się trochę zmieniły i nie ma czegoś takiego jak brak możliwości wypowiedzenia umowy przed upływem roku, ale nie znam nikogo kto by mógł mi to potwierdzić, a na razie jestem jedynie umówiony na rozmowę więc żadnego draftu jeszcze nie dostałem.  Z góry będę wdzięczny za pomoc i wszelkie opinie (a najbardziej będę wdzięczny za opinie od wewnątrz firmy). 
Kariera; Witam, W nowej pracy mam co 3 miesiace quarterly reviews. Firma wysyla do kazdego dwa pliko docs z pytaniami co sie udalo zrobic i co sie zamierza zrobic w nastepnych 3 miesiacach. Dla mnie w sumie to oczywiste pytania. Przeciez widac nad czym pracowalem i co zrobilem bardzo dokladnie. Co chce rozwinac, jakie sam moje slabe i silne stronych itd. Okolo 20-30 pytan lacznie. Ma ktos jakies pojecia czego firma sie spodziewa w takich odpowiedziach od programisty? Co mam napisac, zeby ich utrzymac w szczesciu? 
Kariera; Nękają mnie ostatnio rozważania na temat rozwoju mojej kariery, chciałbym odbić się od waszych opinii na ten temat. Pracuję w średniej wielkości vendorze IT dla dużych korpo. Zaczynałem na studiach od pisania CRUD i prostych BI w SpringBoocie, do tego jakieś niszowe biblioteki JS. Po około roku doszedł do tego Angular, kroczyłem dzielnie w stronę fullstacka SpringBoot + Angular, później doszły hybrydowe aplikacje mobilne w Cordovie, ale to wciąż blisko Angulara, więc nie bałem się, że to zbyt dużo tematów. Następnie doszło do tego sporo grzebania w Azure, trochę w CI/CD, trochę w Node, trochę w AWS i GCP, trochę automatyzacji w Powershell - generalnie trzeba zrobić to, co akurat jest do zrobienia bez względu na technologię. Po prawie pięciu latach mam wrażenie, że poszło to w złą stronę, znam powierzchownie / dość sprawnie używam wielu technologii, ale w żadnej nie czuję się tak doświadczony, jak po 2-3 latach jej używania powinienem się moim zdaniem czuć. Gdyby ktoś mnie teraz zapytał jaka jest moja specjalizacja to głowiłbym się nieźle nad odpowiedzią. Zastanawiam się czy powinienem wybrać konkretną ścieżkę i z innymi technologiami stanowczo się pożegnać czy też taka wszechstronność też jest w cenie na rynku pracy, co uważacie? W tej chwili widzę ścieżki:   Mobile developer - Cordova i Flutter, ciągnie mnie w tą stronę i mam spore doświadczenie   SpringBoot + Angular fullstack - powrót do korzeni, ale dość ciężki, jako, że w Javie ostatnio robiłem coś z rok temu, nie znam w ogóle wersji 11 ani 14. Generalnie co do kierunku, w którym kroczy Java mam mieszane uczucia, dodatkowo nigdy nie czułem się gigantem obiektowego programowania. Angular też co raz mniejszy ma udział w rynku :|   Back-end developer - SpringBoot, ale z odcięciem się od front-endu a zagłębieniem trochę w Cloud,   Cloud architekt - Dobra znajomość Azure i możliwość rozwoju w AWS pozwala mi myśleć o takim kierunku, jednak tutaj wiem, że długa droga do przebycia, nie bardzo też umiem zdefiniować jakie języki programowania musiałbym jednocześnie znać   
Kariera; Studiuję na trzecim roku informatyki, po studiach chciałabym w wolnym czasie zająć się rozwijaniem własnego (małego) biznesu, niezwiązanego z IT - jest to jednak w głównej mierze kwestia pasji i nie chcę całkowicie rezygnować z pracy w branży. Czy moglibyście polecić mi ścieżki rozwoju, w których nałatwiej znaleźć stabilną pracę na część (preferowalnie 1/2) etatu na pozycji powyżej juniora? Na chwilę obecną pracuję jako tester automatyzujący, obiłam się też o mobile i web development - w który z tych kierunków najbardziej opłaca się w takim wypadku iść? 
Kariera; Cześć, jestem studentem II r. I st. Finansów Międzynarodowych na Uniwersytecie Łódzkim. Kierunek uważany za całkiem niezły w kwestii perspektyw zawodowych, jednakże w ostatnich latach w środowisku ludzi uczących się, uczących kogoś i pracujących coraz głośniej mówi się, że przyszłość branży stoi pod ogromnym znakiem zapytania na skutek rozwoju AI (w takim miejscu nie muszę chyba tłumaczyć dlaczego). Zagłębiłem się w temat, przeanalizowałem informacje ze źródeł bardziej wiarygodnych niż wywody na uczelnianym korytarzu i okazuje się, że istotnie, w perspektywie 3-5-10 lat AI ostro ograniczy możliwości rozwoju dla osób w branży: zagrożone jest ok. 3/4 sensownych rozwojowo i płacowo stanowisk w takim mieście jak Łódź, gdyż pracy za 3500 zł brutto w 5-osobowym biurze rachunkowym pani Grażyny nie biorę pod uwagę teraz ani nigdy (to już naprawdę lepiej zostać handlowcem). Jednak to nie o sztuczną inteligencję chciałbym Was zapytać. Wspomniałem o niej tylko w charakterze wprowadzenia, a jednocześnie zorientowałem się w temacie na tyle dobrze, że nie widzę sensu o tym dyskutować (tym bardziej, że to w dużej mierze wróżenie z fusów). Kluczowa informacja jest taka, że z w/w powodów oraz kilku dodatkowych (m.in. tak banalna kwestia, że zupełnie nie czuję mięty do tematu finansów) nie widzę się raczej za 10 lat w branży i od dobrego roku zacząłem uczyć się web developmentu, konkretnie jednego z popularniejszych języków backendowych w mieście takim jak Łódź. Tak, jestem świadom sytuacji na rynku juniorskim (uważnie poczytałem archiwalne tematy w dziale), więc nie musicie mnie uświadamiać, jak to ciężko jest, a będzie jeszcze ciężej przez kryzys (tym bardziej, że pod każdym tego typu tematem pojawiają się zawsze ci sami użytkownicy z takimi samymi, jednozdaniowymi opiniami). Pytanie do Was jest następujące: w jakim kierunku poprowadzić swoją formalną edukację, jeśli ze wszystkich dostępnych ścieżek najbardziej widziałbym siebie web developer? Stworzyłem listę dostępnych dla mnie opcji: 1) Skończyć licencjat z Finansów Międzynarodowych i na studia magisterskie wybrać się na Uniwersytet Ekonomiczny we Wrocławiu, na kierunek Informatyka w biznesie. Jest to podrasowana wersja standardowej na uczelniach ekonomicznych Informatyki i Ekonometrii, co do której można powiedzieć tyle, że program studiów jest znacznie bliższy standardowej informatyce, a robiąc research na LinkedIn da się zauważyć, że znacznie większa część absolwentów IwB zostaje programistami niż w przypadku IiE (ok. 50%,dane oczywiście mocno wyrywkowe). Do pewnego stopnia kierunek mgr pasuje też do licencjatu, co da mi opcje zawodowe w przypadku totalnej porażki na wrocławskim rynku IT. 2) Skończyć licencjat z finansów i udać się na studia magisterskie z czystej informatyki na prywatnej uczelni w Łodzi. Tak, jest to możliwe po jakimkolwiek dyplomie studiów I stopnia. Tutaj zaletą jest formalny tytuł, innych zalet próżno szukać. 3) Przerwać aktualne studia i od zera rozpocząć niestacjonarne studia licencjackie z informatyki na Uniwersytecie Łódzkim. Opcja zakłada wyrzucanie do kosza niemal 2 lat z życia, pomimo tego, że zostało mi niecałe 15 miesięcy do obrony licencjatu. UŁ sam z siebie uczelnią techniczną nie jest (co jest widoczne także w losach absolwentów), a rynek łódzki przy wrocławskim to jednak drugi sort. 4) Pomimo tego, że finanse mnie nie kręcą, a AI stanowi realne zagrożenie dla moich pierwotnych planów zawodowych, pozostać przy aktualnej ścieżce aż do zdobycia tytułu mgr z finansów, gdyż mimo wszystko wygląda to lepiej niż powyższe punkty, tzn. ryzyko zawodowej katastrofy jest wg Was niższe. Do opcji 1, 2 i 3 naturalnie dokładam ciężką pracę nad samodoskonaleniem i własnymi projektami (którą już rozpocząłem). Z różnych względów studia na Politechnice (Łódzkiej czy Wrocławskiej) wykluczam, tak samo jak opcję z rzuceniem studiów i bezrefleksyjnym udaniem się na bootcamp za jedynie 15k. Kierunki pośrednie między IT a finansami także z różnych względów wykluczam jako pierwszy wybór (więc bardzo proszę, odnoście się do dostępnych opcji, bo wiem co mówię). 
Kariera; Pare razy mi sie zdarzylo, ze zrobilam duza czesc zleconego projektu, a potem kontakt ze zleceniodawcą sie urwał. Jak to zrobić, zeby zmusic klienta do zapłaty? Czy jest jakas forma bardzo prostej umowy, którą stosuje sie takich przypadkach? Sorry jesli glupie pytanie, nie znam sie na prawie 
Kariera; Cześć, Po przygodzie z frontem uznałem, że fajnie by było umieć coś więcej niż tylko zajmować się sprawą wizualną, walidacją formularzy itd. Wtedy za pośrednictwem uczelni pojawił się C#, jak i Java, którą polecił mi znajomy. Spróbowałem obu z tych języków i jako że mam lekkie obrzydzenie do M$ (chociaż na VS super się pracowało), to jednak Java mi trochę bardziej przypadła do gustu, choćby z faktu, iż można przejść na Scale czy też kotlina, jak i troche łatwiej się pracuje z nią na linuxie. Jednak czytam tyle negatywnych opinii o Javie, że ciężko o prace, kandydatów pełno, wszyscy się jej uczą, pełno bootcampowców, że pojawił mi się lekki 'stres' związany z nauką. Znajomy, który pracuje w Krakowie, własnie jako Javowiec, mówi że jak się ją dobrze ogarnia to problemu z pracą nie ma i spokojnie da się ją znaleźć . I żebyście nie zrozumieli ze mam parcie na znalezienie pracy w '12miesiecy' za 15k, bo tak nie jest, bo na prace przyjdzie odpowiedni czas, może i w trakcie studiów. I moje pytanie do was może jest głupie, ale finalnie bez doświadczenia bazując tylko na internecie ciężko mi odpowiedzieć na pytanie - jak wygląda sytuacja w Javie? Czy faktycznie jest tak źle czy, aby się tym nie sugerować i robić po prostu swoje. Plus drugie pytanie trochę z innej beczki, na jakim poziomie należy znać angielski, aby jako programista móc czuć się swobodnie? Dziękuje za odpowiedzi :) 
Kariera; Znalazłem Comarch i Kamsoft Wolałbym firmy z lepszą reputacją 
Kariera; Witam, Jakie projekty najlepiej miec w portfolio na junior backend/fullstack deva? 
Kariera; Witam, zacznę od ostrzeżenia - jest to kolejny wątek z serii przebranżowienia. Natomiast przypadek jest  nieco specyficzny i może ktoś jednak przeczyta. Moja sytuacja wygląda tak, że mam 26 lat i skończyłem studia MiBM na politechnice. Od 3 lat pracuję jako programista maszyn CNC i kierownik niedużego zespołu. Zarobki są niezłe, ale niestety ta branża zaczyna mnie nudzić. Odkryłem, że najlepiej czuję się właśnie w programowaniu, co prawda moja wiedza jest znikoma - znam podstawy podstaw C++, na własny użytek, przy pomocy internetu robię programiki przyśpieszające pracę w programowaniu CNC (piszę prymitywne ale działające postprocesory), same programy do maszyn wspomagam prostymi pętlami (składnia g-codów nie pozwala na zbytnie szaleństwa). Ogólnie lubię tym bawić, ale jestem zielony w stricte informatyce. Jednocześnie, niedawno  dostałem propozycję doktoratu wdrożeniowego. Dla niezorientowanych w temacie - polega to na tym, że rozwiązuję jakiś problem technologiczny firmy, w której pracuję, mający charakter wdrożenia gospodarczego. Pracuję wtedy jak gdyby na dwa etaty - w firmie, gdzie robię badania i na uczelni, gdzie opracowuję je naukowo. Na uczelni mam zajęcia, ale ograniczone tak, by nie kolidowały z pracą w firmie. Otrzymuje wtedy dwie pensje (więc finansowo przez te 4 lata będzie bajka) i na koniec bronię doktorat i otrzymuję tytuł. Temat pracy doktoratu byłby ściśle związany z uczeniem maszynowym (mój promotor jest dosyć dobrym specjalistą w tej dziedzinie). Wykorzystanie algorytmów ML do optymalizacji procesów obróbki CNC. Sam temat jest dla mnie bardzo interesujący. Niestety niewiele wiem na temat ML.  I teraz pytanie, jak myślicie, czy warto się w to angażować. Intensywna nauka przez 4 lata dziedziny uczenia maszynowego (nauka programowania itd), plus badania, plus praca w firmie. Oczywiście wszystko to ze sobą połączone, więc cały czas będę w temacie. Raczej nie interesuje mnie praca na uczelni. Pytam w kontekście przyszłej perspektywy pracy związanej z informatyką, łączenia ją z przemysłem. I wiem, wiem nikt z internetu nie powie mi jak mam żyć. Po prostu się zastanawiam i zbieram różne opinie. Pozdrawiam 
Kariera; Witajcie, Mam pewien dylemat, ponieważ nie wiem czy rozwijać projekt, który obecnie jest w fazie beta. Portal służy znajdowaniu wspólników IT lub dołączaniu do już istniejących projektów, i pomocy polskiej gospodarce poprzez dostarczanie wartościowych rozwiązań IT.  Czy według Was takie miejsce w sieci ma sens? Czy chcielibyście utworzyć tam swój profil? Czy chcielibyście dyskutować i dopracowywać projekty IT, po czym w kilka osób zacząć je realizować? Często nie ma możliwości zorganizowania wspólników z własnej siatki znajomych. Będę wdzięczny za wszelkie info. Pozdrawiam Michał 
Kariera; Na czym się najlepiej skupić jeśli chcę iść na staż do tych firm? 
Kariera; ktoś przechodził? możecie napisać jak przebiegała? 
Kariera; Cześć.mam pytanie odnośnie odpowiedzialności programisty embedded przy systemach krytycznych. Wiadomo, że nikt nie jest nieomylny, ale co jeśli developer przez przypadek, z pośpiechu, zmęczenia itd. popełni błąd który w przyszłości może skutkować awarią w sofcie np. jakiegoś elementu kluczowego dla bezpieczeństwa w automotive lub przy urządzeniu medycznym itp. Jaką odpowiedzialność ponosi programista który taki błąd popełnił lub zatwierdził czyjeś zmiany z bugiem, a coś przeoczył? Warto się pchać w takie działki, czy lepiej odpuścić i poszukać czegoś mniej odpowiedzialnego np. w webie? Czy ktoś z Was pracuje przy takich systemach i mógłby odnieść się do tematu? 
Kariera; Hej! Niestety w związku z zaistniałą sytuacją dostałem wypowiedzenie pracy do końca maja. Pracuję jako Java Developer po bootcampie i aktualnie mam półtora roku (18 msc) doświadczenia oraz niecały rok nauki w szkole programowania (tego nie wliczam w doświadczenie). Pech chciał, że zostałem zwolniony w związku z cięciem kosztów, a mój projekt został zawieszony. Jak większość ludzi czuję stres i lęk co dalej... Studiów nie skończyłem, a kurs programowania też trochę kosztował, dodatkowo wciąż muszę płacić za czynsz, a oszczędności nie mam zbyt wiele, a do rodziców nie chcę wracać. Jestem teraz w kropce, ponieważ mieszkam w Krakowie, a tutaj też trochę cienko z ofertami, wiele firm likwiduje wakaty, a większość ludzi siedzi po firmach nie wychylając się. Mój stack technologiczny jest tradycyjny dla Javowca (Spring, Hibernate, JUnit, SQL). Czy składać CV na oferty pracy dla Midów? Czy szukać pracy takżę w innych technologiach? Minusem jest to, że nie mam jeszcze wyrobionego doświadczenia, chodzi mi o długość pracy, która jest porządana (3-4 lata)... Na pewno są ludzie w podobnej sytuacji do mojej, dzięki za rady. 
Kariera; Natknąłem się dzisiaj na pojęcie Innovation Box Szczególnie moją uwagę przykuła stawka podatku dochodowego obniżona o 5% i zdanie Stawką preferencyjną zostały objęte: (ble,ble,ble) , a także prawo do programu komputerowego. Ktoś może już zgłębiał temat i może się odnieść? Bo nie wiem czy to nie jest z serii: nikt ci tyle nie da co my ci obiecamy  quidquid Latine dictum sit, altum videtur 
Kariera; 7 lat temu zatrudniłem się jako początkujący fullstack (moja pierwsza praca) i tak jakoś wyszło że już zostałem. Ostatnio jakoś z czystej ciekawości założyłem konto na linkedinie bo każdy ma, mimo że nie szukam pracy i tak jak się spodziewałem mimo wszystko odezwała się jakaś rektuterka pytając czy czasem nie rozważam zmiany. Spodziewałem się jednak, że po prostu jeżeli odpowiem tak to zacznie mi wysyłać wszystkie ogłoszenia jakie się da niczym urząd pracy, byle by z kategorii IT. Ale o dziwo zaproponowała mi konkretną ofertę (w pierwszej wiadomości, bo jeszcze nic nie odpisałem) w konkretnej firmie która odpowiada 100% mojemu techstackowi. I tu moje pytanie - na ile taka propozycja jest warta skoro wychodzi ona od rekturera (niepracującego w tej firmie, tylko firmy pośredniczącej) a nie samej firmy? Jeżeli bym był zainteresowany to jak przebiegałby dalszy proces rekrutacji? Mam jakkolwiek większe szanse na zatrudnienie dzięki temu że to oni (ona) znalazła mnie niżeli bym sam się zgłosił przez jakiś serwis dla szukających pracy? Czy jeżeli powiem chętny to po prostu będzie mi kazać wysłać CV i tyle? I na ile takie firmy są chętne do zatrudniania przez rektuterów (wiadomo że płacą prowizję)? Czy będzie lepiej/gorzej jeżeli zignoruję rektutera i zgłoszę się sam przez jakiś portal lub bezpośrednio przez ich stronę (ogłoszenie jest publiczne)?  Czy ktoś z was ogólnie szukał pracy (lub praca znalazła jego) przez takiego rekrutera i jakie macie wrażenia? A może z jakiegoś powodu unikać ich jak ognia? 
Kariera; Cześć! Tak jak w temacie jestem w lutym obroniłem inżynierkę na AGH na dość trudnym kierunku ale nie związanym bezpośrednio z IT. Głównie jestem samoukiem a mój stack to java8, spring, hibernate,sql, maven. Nie powiedziałbym że jestem mistrzem z tych technologii ale wydaję mi się że w miarę sprawnie się nimi posługuję. Dodatkowo mam już jakieś doświadczenie dzięki stażowi w poprzednie wakacje. Plan był taki że doszkolę się jeszcze po obronie i szukam stanowiska na juniora albo jeszcze jakiś staż, ale przyszedł kryzys ofert dla juniorów nie ma już od miesiąca, część firm odwołała staże, jak już się  coś pojawi to wg linkedIn jest >100 kandydatów, część przyjmowała ale na razie jest brak jakichkolwiek informacji, po jednej rozmowie dostałem informację że staż może się w ogóle nie odbyć. Może wiecie jak to wygląda od strony firm? Wytrwale czekać czy jest się czym przejmować i szukać pracy w innych sektorach( jakich?) ?. Będę wdzięczny za wasze przemyślenia i porady :) 
Kariera; Cześć wszystkim! Wracam do Was po paru miesiącach. Ostatnio uzyskałem bardzo fajne i wyczerpujące odpowiedzi, które mi pomogły. Bardzo liczę, że tym razem będzie podobnie. Trochę chciałem się sprawdzić i wysłałem pod koniec stycznia kilka CV na oferty, gdzie w teorii spełniałem chociaż połowę wymagań. Odezwały się dwie firmy. W przypadku jednej staż, w przypadku drugiej czas próbny mający być szkoleniem. Druga firma proponowała dość ciekawie zapowiadające się stanowisko : młodszy programista, początkowo pełne wdrożenie w sposób działania firmy, jaką gamę produktów oferuje, jak współpracują ze sobą różne działy. Firma nie za duża nie za mała. I tak z początkiem lutego stawiłem się w pracy. Początkowo było nawet spoko. Produkty zapowiadały się bardzo ciekawie, opowiadali o zadaniach jakie aktualnie realizują poszczególne zespoły, zapoznali mnie z ludźmi z tego, do którego miałem trafić. Ekipa okazała się być świetna - jednak tutaj pozytywy w moich oczach kończą się. Z opinii w internecie co do firmy wynikało, że największym problemem firmy są jej szefowie, którzy rozdzielają zadania. Nie sugerowałem się za bardzo tymi opiniami uznając, że głównie negatywne opinie piszą ludzie, którzy zostali zwolnieni. Niestety dziś już się z nimi zgadzam. Szefowie mają bardzo oderwane od rzeczywistości pojęcie o czymkolwiek. Zlecają masę zadań, które spokojnie mogłyby poczekać lub być wykonane w wolnej chwilii, nie związane z funkcjonowaniem produktów tylko będące czystą papierologią, która pozwala im namacalnie sprawdzić sobie czy to co wymyślili o 10:00 jest wykonane do 14:00 jak sobie zażyczyli. Kodu tam naprawdę dotknąłem 3 razy do dnia dzisiejszego - jakieś pierdoły, które finalnie okazało się, że i tak nie będą użyte.  Moje zadania zostały ograniczone do pisania pdf-ów z krokami dla klienta jak zainstalować program, jak założyć konto, jak wywołać jakąś funkcjonalność. Żeby wykonać taki tutorial muszę to oczywiście przeklikać sam - i tutaj zaczynają się niewyobrażalne dla mnie schody, ponieważ na tym systemie cały czas ktoś coś poprawia, dodaje, kasuje, zmienia. Nic nie działa. Przechodzę przez jakiś etap, już godzinę klikam i wreszcie ma być koniec i nagle okazuje się, że ktoś wykomentarzowal jakiś fragment kodu, który zapisałby wynik mojej pracy i jestem godzinę w plecy. Mam sprawdzić kilka przypadków możliwych kliknięć użytkownika i w ciągu 10 minut potrafi się okazać, że już funkcjonalność nie działa i trzeba czekać kilka godzin, żeby w ogóle ktoś to naprawił. Później tylko zbieram komentarze, że ile może trwać zrobienie testu tego albo poprawianie pdf-u do skutku bo tutaj to jednak inna czcionka, a tutaj ten screen mniejszy, a ten daj po prawo.... Często na koniec dnia muszę robić po godzinach bo dopiero ktoś inny coś uruchomił i wreszcie mogę spróbować coś przeklikać - a oczywiście dokument powinienem był oddać już 3h wcześniej według informacji od szefostwa.  Jestem załamany. Czy naprawdę tak powinna wyglądać moja praca? Na koniec dnia jestem psychicznie zmęczony nie nadmiarem zadań, ale brakiem możliwości wykonania większości z nich przez niestabilność systemu. No i niestety nie jest to zakres prac z oferty, na którą aplikowałem.  Dodatkowo firma ma 3 oddziały. Na czas szkolenia muszę być w innym niż mój docelowy - taka sytuacja miała trwać miesiąc, a niestety już dawno miesiąc minął i nie zanosi się na zmianę. Szef zbywa temat.  Czy ja przesadzam? Czy to jest właśnie brutalne zderzenie z rzeczywistością? Czy może firma robi ze mnie białego murzyna i debila, a ja się na to godzę i marnuje czas, który mógłbym poświęcić na nauke lub lepszą firmę? :( 
Kariera; Mam 9000 brutto na UoP, 21 dni urlopu, opieka medyczna i zastanawiam się nad przejściem na B2B. Zastanawiam się czy mi się to opłaca i nie do końca wiem ile bym dostał na rękę przy B2B odliczając wszystkie podatki. Nie miałem nigdy działalności więc z tego co mi wiadomo jest jakaś półroczna? ulga. UOP: 10866 koszt pracodawcy -> 9000 brutto -> 6330 do ręki B2B: 10866 koszt pracodawcy(na fakturze) -> 8 788 netto -> 8268 do ręki po odliczeniu zusu z ubezpieczeniem chorobowym Czy w obu przypadkach faktycznie koszt pracodawcy będzie taki sam? Czy czegoś nie uwzględniłem jeszcze przy obliczaniu kwoty do ręki przy B2B? Z góry dzięki za pomoc 
Kariera; Zauważyłem, że w Internecie odżywa temat ozusowania umów B2B. Rząd prawdopodobnie będzie chciał zmienić kodeks pracy w tym roku i objąć umowy B2B pojęciem Samozatrudniony ekonomicznie zależny Info poniżej. Tygodnik powołuję się na słowa posłanki Urszuli Ruseckiej z PiS: https://to.com.pl/nowy-kodeks[...]mozatrudnienie/ar/c3-14825496 Projekt nowego kodeksu z roku 2018: https://www.gov.pl/web/rodzin[...]sje-kodyfikacyjna-prawa-pracy Szczególnie polecam: Dział IX Samozatrudniony ekonomicznie zależny. Wyjaśniałoby to dlaczego ostatnio pojawił się temat ustawy antyaborcyjnej.   Z jednej strony nowe regulacje chronią ich prawa: minimalne wynagrodzenie, urlop, wynagrodzenie za czas choroby, niemożliwość rozwiązania umowy w czasie np. ciąży, ale jednocześnie jest to wstęp i tytuł od ozusowania takich umów – zapewne na zasadach pracowniczych, co przy wysokich dochodach z samozatrudnienia oznaczać będzie zdecydowania gorszą sytuację – wyższe obciążenie obowiązkowym ZUS – niż obecnie.   Gdy się nie wie, co się robi, to się dzieją takie rzeczy, że się nie wie, co się dzieje     
Kariera; Cześć,  Zastanawiam się, które Warszawskie firmy mają możliwość wyjazdów zagranicznych w ramach poznawania zespołów współpracujących. Interesowały by mnie pracodawcy z kilkoma wyjazdami w roku jeśli chodzi o stack to Java Backend lub Java/Angular. Myślę ze fajnie byłoby połączyć zwiedzanie świata z pracą, całkowity wyjazd odpada ze względu na rodzinę. 
Kariera; Cześć, zaciekawiła mnie firma KLDiscovery Ontrack z Katowic. Czy ktoś z Was może tam pracuje/pracował bądź ma jakieś informacje na jej temat oraz codziennych warunków pracy? Z góry dzięki ) 
Kariera; Witam. Prosze o zyczliwa porade. Pisze bez polskich znakow diakrytycznych i z gory przepraszam za styl pisania. 4 lata temu zrezygnowalem z pracy jako programista. Pracowalem komercyjnie przez 2.5 roku glownie w c++98, t-sql, troche w c#, vbscript. Mam dylemat czy sprobowac javy 8/9 (programowalem troche java 6 na niedokonczonych studiach) czy moze lepiej wziac c++11/14/17/20 ? Jak byscie potraktowali ten wybor jako potencjalny pracodawca? Zaznaczam ze c++ jak i jave i linuxa lubie a nie chce probowac c#. Wiem ze profesjonalny programista powinien znac kilka jezykow ale mam zamilowanie (albo wade) do koncentrowania sie na szczegolach i wole jeden znac doglebnie a reszte (duzo/troche) slabiej. 
Kariera; Czy orientuje się ktoś czy system informatyczny do obsługi NZOZu (Niepubliczny Zakład Opieki Zdrowotnej) zawierający dane medyczne pacjentów można postawić całkowicie w chmurze (i czy są tutaj lepsi i gorsi dostawcy, może AWS)? 
Kariera; Panowie, doradźcie proszę (albo wskażcie kogo mogę zapytać o szczegóły, czy to bardziej prawnik czy księgowa?) jak to jest ze sprzedażą oprogramowania. Gdybym założył stronę, na której promowałbym swoje oprogramowanie, na które można kupić licencję to jak to wygląda ze strony prawnej. Tzn powinienem założyć działalność? Z tego co wiem, sprzedając przez np AppStore działalność nie jest konieczna. 
Kariera; Prosta robota: pobrać dane z serwera, zaktualizować na ich podstawie lokalny plik. Haczyk: To ja mam podać, za ile to zrobię. Niestety, pytania pod tytułem: 'ile chcę za robotę' zawsze mnie zamykały. Zwyczajnie nie znam cen, nie wiem, ile się za takie rzeczy bierze. Podobnie z racji braku doświadczenia nie umiem powiedzieć, ile godzin mi to zajmie. Robota wygląda na prostą więc wygląda, że zrobię to szybko - ale na pytanie 'Podaj godziny' chyba będę w stanie odpowiedzieć dopiero, jak takie rzeczy będę jeszcze jakiś rok trzaskał! Ugh... Ile powinienem powiedzieć? 
Kariera; Cześć wszystkim, jestem frontendowcem i od początku marca pracuję w nowej firmie - jedna z warszawskich korpo. Poprzednią pracę zmieniłem głównie dlatego, że byłem znudzony projektem i po prostu chciałem spróbować czegoś nowego. Niestety obietnice z rozmowy mocno się różnią od faktycznego stanu. W obecnej pracy wszyscy piszą front end przez co kod ten pozostawia wiele do życzenia. Używany jest angular i react, jednakże react praktykowany jest w tej starszej wersji - pisanie klasowych komponentów, brak hooków mimo, że używana wersja reacta to umożliwia. Przychodząc tutaj było mówione, że będę miał możliwość nauki c# czy node.js a tak naprawdę technologie te nie są w ogóle używane. Mam wrażenie, że zamiast się rozwijać to się uwsteczniam.  Szczerze nie wiem co robić, czy rezygnować już po tak krótkim okresie czy też może poczekać. Nie widzę jednak chyba żadnej szansy na poprawę. Byliście kiedyś w podobnej sytuacji? Jak to rozwiązaliście? 
Kariera; Hej, Zauważyłem że w różnych wątkach na forum pojawia się temat koronawirusa i zastanawiam się jaką macie opinie na temat wpływu pandemii na branże IT, np. które firmy mogą dostać najbardziej po tyłku? Osobiście mi sie wydaje, że mogą być redukcje w firmach zajmujących sie branża turystyczną lub w outsourcingu. Z drugiej strony wydaje mi się że firmy zajmujące się np. hazardem będą miały teraz wzrost. Stabilnie może być też w dużych korporacjach, które mają własny produkt, który sprzedają innym dużym firmą, np. systemy CRM, ale to tylko moja subiektywna opinia. Co wy o tym wszystkim myślicie? Czy jako praowncy IT mamy się czego obawiać i które zawody w IT mogą być bardziej i mniej zagrożone? 
Kariera; W jakiej technologii jest lub będzie za rok/dwa najniższy próg wejścia? czego warto się uczyć? 
